;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;geores;Agrement
170;BOULANGERIE LA MANDRINE (SANCHES DAMIEN);4,47487E+13;1 ROUTE DE SAINT MARCELLIN;38590;SAINT ETIENNE DE SAINT GEOIRS;45.324329,5.346895;
171;BOULANGERIE MARIE BLACHERE (BOULANGERIES BG);4,78456E+13;157 AVENUE PIERRE MENDES FRANCE;2000;LAON;49.579961,3.642272;
172;LE PAIN PIEROL (RILOPE SARL);4,32238E+13;61 AV JEAN JAURES;95330;DOMONT;49.033417,2.34031;
173;LE PALAIS HON SING (ZHENG WEI);4,48142E+13;14 AV MARCEAU;92400;COURBEVOIE;48.898832,2.246599;
174;Les crêpes d'Alex (VALLET ALEXANDRA);4,78489E+13;26 RUE LA TOUR D AUVERGNE;29400;LANDIVISIAU;48.508802,-4.072488;
175;MOUGIN GILLES MAURICE;4,38347E+13;87, IMPASSE LAVOISIER;73100;GRESY SUR AIX;45.716709,5.922933;
176;LE CHAMANDIER (MONSIEUR TAOUFIK BEN CHEIKH);4,78724E+13;17 RUE DU BOIS TAILLIS;38610;GIERES;45.182449,5.781088;
177;AU FEU DE BOIS (LA MANIGODINE);4,38402E+13;28 RTE DE THONES;74230;MANIGOD;45.861585,6.36871;
178;SARL XUANG;4,50428E+13;62 RUE SAINT DENIS;92700;COLOMBES;48.923989,2.254152;
179;Restaurant McDonald's (VENDANEX);4,79932E+13;COATIBORN;29150;CHATEAULIN;48.206399,-4.080812;
180;LE PAIN DORE;4,38695E+13;30 BD BEAUMARCHAIS;92230;GENNEVILLIERS;48.931911,2.287248;
181;LES GRANDS TERROIRS DU PONTIC;4,80377E+13;ZI DU FROMEUR;29400;LANDIVISIAU;48.500014,-4.06814;
182;CAFE DE LA BOURSE COMPTOIR DE LA BOURSE (FABIEN BOURSE);4,39057E+13;33 R DE LA BOURSE;69002;LYON;45.764891,4.836962;
183;MONSIEUR CHRISTOPHE POULET;4,82351E+13;25 RUE MARIUS PETIT;80450;CAMON;49.886867,2.34394;
184;COTONNEC ARNAUD;4,39626E+13;5 RUE RECHOU BRAS;22300;PLOUBEZRE;48.692333,-3.456352;
185;LE DELICE TIME (SNA LE DELICE);4,83131E+13;84 BD CHARLES DE GAULLE;92700;COLOMBES;48.911851,2.233038;
186;COIGNIERES PORC;4,4312E+13;R DU PONT DES LANDES;78310;COIGNIERES;48.736943,1.909827;
187;VSGK;4,51949E+13;RUE DE LA SABLONNIERE;94460;VALENTON;48.750509,2.454156;
188;MCDONALD'S (EURL GLORIA);4,83825E+13;CENTRE COMMERCIAL AUCHAN;62280;SAINT MARTIN BOULOGNE;50.734671,1.674766;
189;BOULANGERIE FM;4,45264E+13;70 AVENUE LEON FOILLARD;69830;SAINT GEORGES DE RENEINS;46.057365,4.722194;
190;BOUCHERIE GILBERT (MONSIEUR PIERRE GILBERT);4,52126E+13;25 AV ANTOINE PORTE;63340;SAINT GERMAIN LEMBRON;45.457957,3.238004;
191;L'ECHOPPE (SELF SERVICES);4,8437E+13;FORUM DE LA GARE;35300;FOUGERES;48.348061,-1.192894;
192;PRALINE ET CHOCOLAT (BOULANGERIE PRALINE ET CHOCOLAT);4,48155E+13;277 CRS LAFAYETTE;69006;LYON;45.763823,4.86681;
193;ROYAL PIZZ;4,53726E+13;24 RUE DES TROIS ROIS;29260;LE FOLGOET;48.561787,-4.335884;
194;MONSIEUR FERNAND DELANNAY (CHEZ NOUS);4,89078E+13;POINTE DES CHATEAUX;97118;SAINT FRANCOIS;16.253127,-61.207527;
195;FARMEL;4,48518E+13;5 RUE DU CAP DE BONNE ESPERANCE;35730;PLEURTUIT;48.611028,-2.060813;
196;TOUBNA KEBAB (TOUBNA);4,81844E+13;68B des prés impasse des tournesols;74300;ANNEMASSE;46.080293,6.542526;
197;LIX BRUNO;4,89543E+13;1 PL CENTRALE;47500;MONSEMPRON LIBOS;44.482601,0.945096;
198;ALFANE;4,49901E+13;18, RUE JEAN MOULIN;78280;GUYANCOURT;48.769373,2.0642;
199;BOULANGERIE MARIE BLACHERE (COTE BOULANGE);4,82341E+13;66 RTE DE MONTLHERY;91400;ORSAY;48.686789,2.184771;
200;LA FARINETTE (REMEUR-LE GALL);4,90257E+13;RUE DU PUITS;29600;SAINT MARTIN DES CHAMPS;48.577152,-3.85209;
201;LE PISTORE;4,50092E+13;45 RUE BLATIN;63000;CLERMONT FERRAND;45.776654,3.07777;
202;NOBILE AURELIA;4,82518E+13;44 RTE DE SAINT BERTRAND;65370;SARP;43.019928,0.589346;
