;SIRET;APP_Libelle_activite_etablissement
318;5,05155E+13;Boulangerie-Pâtisserie
319;5,19424E+13;Alimentation générale
320;5,09791E+13;Boulangerie-Pâtisserie
321;5,19929E+13;Boulangerie-Pâtisserie
322;5,31917E+13;Restaurant
323;5,09875E+13;_
324;5,20161E+13;Boulangerie-Pâtisserie
325;5,32227E+13;Alimentation générale
326;5,10101E+13;Boulangerie-Pâtisserie
327;5,20391E+13;Restaurant
328;5,32513E+13;Alimentation générale
329;5,1083E+13;Alimentation générale
330;5,23322E+13;Boulangerie-Pâtisserie
331;5,11134E+13;Alimentation générale
332;5,23477E+13;Boucherie-Charcuterie
333;5,33336E+13;Alimentation générale
334;5,1117E+13;Alimentation générale
335;5,33421E+13;Boulangerie-Pâtisserie
336;5,12468E+13;Restaurant
337;5,24449E+13;_
338;5,33511E+13;Boulangerie-Pâtisserie
339;5,12588E+13;Restaurant
340;5,24481E+13;Boulangerie-Pâtisserie
341;5,33849E+13;Boulangerie-Pâtisserie
342;5,14244E+13;Boulangerie-Pâtisserie
343;5,25136E+13;Restaurant
344;5,34315E+13;Alimentation générale
345;5,1469E+13;Boulangerie-Pâtisserie
346;5,28041E+13;Boucherie-Charcuterie
347;5,14983E+13;Restaurant
348;5,30018E+13;_
349;5,37929E+13;Traiteur
350;5,30849E+13;Boulangerie-Pâtisserie
351;5,72106E+13;_
352;5,18276E+13;Alimentation générale
353;5,32332E+13;Boulangerie-Pâtisserie
354;6,59804E+13;Primeur
355;5,21026E+13;Restaurant
356;5,32779E+13;Boulangerie-Pâtisserie
357;7,50713E+13;Restaurant
358;5,2156E+13;Restaurant
359;5,32907E+13;_
360;7,51989E+13;Alimentation générale
361;5,22183E+13;Restaurant
362;5,32942E+13;Restaurant
363;7,52245E+13;Boulangerie-Pâtisserie
364;5,23522E+13;Boulangerie-Pâtisserie
365;5,335E+13;Boulangerie-Pâtisserie
366;7,52247E+13;Restaurant
367;5,23558E+13;Boucherie-Charcuterie
368;5,33812E+13;Boucherie-Charcuterie
369;7,52352E+13;Boulangerie-Pâtisserie
370;5,34593E+13;Alimentation générale
371;7,53054E+13;Restaurant
372;5,25201E+13;Alimentation générale
373;7,53114E+13;Boulangerie-Pâtisserie
374;5,29035E+13;Boulangerie-Pâtisserie
375;5,34944E+13;Chocolatier
376;7,53158E+13;Boulangerie-Pâtisserie
377;5,29376E+13;Restaurant
378;5,38034E+13;Restaurant
379;7,53191E+13;Boulangerie-Pâtisserie
380;5,30763E+13;Restaurant
381;5,38535E+13;Restaurant
382;7,53332E+13;Boucherie-Charcuterie
383;5,32005E+13;Boulangerie-Pâtisserie
384;5,39824E+13;Boulangerie-Pâtisserie
385;7,53485E+13;Traiteur
386;7,53531E+13;Restaurant
387;5,62028E+13;_
388;7,53888E+13;Boulangerie-Pâtisserie
389;5,33852E+13;Boulangerie-Pâtisserie
390;7,88748E+13;Restaurant
391;5,3395E+13;Rayon boucherie-charcuterie
392;7,8922E+13;Boulangerie-Pâtisserie
393;5,34643E+13;Boulangerie-Pâtisserie
394;7,9055E+13;Restaurant
395;5,34714E+13;_
396;7,912E+13;Boucherie-Charcuterie
397;5,34842E+13;Restaurant
398;6,62014E+13;Alimentation générale
399;7,91552E+13;Primeur
400;5,37415E+13;Boucherie-Charcuterie
401;6,89802E+13;Boulangerie-Pâtisserie
402;7,91834E+13;Restaurant
403;5,37589E+13;Restaurant
404;6,92034E+13;Alimentation générale
405;7,91854E+13;Boulangerie-Pâtisserie
406;5,38622E+13;Boulangerie-Pâtisserie
407;7,50557E+13;Boulangerie-Pâtisserie
408;7,92015E+13;Restaurant
409;5,38779E+13;Alimentation générale
410;7,50657E+13;Restaurant
411;7,92484E+13;Boucherie-Charcuterie
412;5,38783E+13;Alimentation générale
413;7,50749E+13;Boulangerie-Pâtisserie
414;7,92581E+13;Alimentation générale
415;7,50813E+13;Restaurant
416;7,92907E+13;_
417;7,50911E+13;Boulangerie-Pâtisserie
418;7,93182E+13;Restaurant
419;5,62128E+13;Alimentation générale
420;7,51111E+13;Boulangerie-Pâtisserie
421;7,94019E+13;Boulangerie-Pâtisserie
422;7,51633E+13;Boulangerie-Pâtisserie
423;7,49892E+13;Restaurant
424;7,52181E+13;Boulangerie-Pâtisserie
425;7,95182E+13;Boulangerie-Pâtisserie
426;7,49956E+13;Boulangerie-Pâtisserie
427;7,52431E+13;Alimentation générale
428;7,97468E+13;Rayon boucherie-charcuterie
429;7,52857E+13;Restaurant
430;7,98552E+13;Restaurant
431;7,53148E+13;Boulangerie-Pâtisserie
432;7,5335E+13;Boulangerie-Pâtisserie
433;7,988E+13;Boulangerie-Pâtisserie
434;7,53158E+13;Alimentation générale
