;SIRET;ods_type_activite
470;7,93182E+13;Autres
471;5,62128E+13;Autres
472;7,51111E+13;Autres
473;7,94019E+13;Autres
474;6,32E+13;Autres
475;7,51633E+13;Autres
476;7,49892E+13;Autres
477;7,52181E+13;Autres
478;7,95182E+13;Autres
479;7,49956E+13;Autres
480;7,52431E+13;Autres
481;7,97468E+13;Autres
482;7,50434E+13;Autres
483;7,52857E+13;Autres
484;7,98552E+13;Autres
485;7,53148E+13;Autres
486;7,5335E+13;Autres
487;7,988E+13;Autres
488;7,53158E+13;Autres
489;7,53567E+13;Autres
490;8,01092E+13;Autres
491;7,53593E+13;Autres
492;7,54014E+13;Autres
493;8,01312E+13;Autres
494;7,8494E+13;Autres
495;7,75609E+13;Autres
496;8,01645E+13;Autres
497;7,8494E+13;Autres
498;8,01868E+13;Autres
499;7,88748E+13;Autres
500;7,8494E+13;Autres
501;8,01941E+13;Autres
502;7,8914E+13;Autres
503;7,8494E+13;Autres
504;8,02743E+13;Autres
505;7,90259E+13;Autres
506;7,8494E+13;Autres
507;8,03058E+13;Autres
508;7,90412E+13;Autres
509;7,88985E+13;Autres
510;8,03617E+13;Autres
511;7,90467E+13;Autres
512;7,89297E+13;Autres
513;8,03654E+13;Autres
514;7,91657E+13;Autres
515;7,89453E+13;Autres
516;8,03856E+13;Autres
517;7,92383E+13;Autres
518;7,8962E+13;Autres
519;8,03894E+13;Autres
520;7,93344E+13;Autres
521;7,89822E+13;Autres
522;8,0476E+13;Autres
523;7,93535E+13;Autres
524;7,90796E+13;Autres
525;8,0481E+13;Autres
526;7,93588E+13;Autres
527;7,91594E+13;Autres
528;8,04992E+13;Autres
529;7,94454E+13;Autres
530;7,91798E+13;Autres
531;8,05208E+13;Autres
532;7,95406E+13;Autres
533;7,92432E+13;Autres
534;8,08328E+13;Autres
535;7,97542E+13;Autres
536;7,93347E+13;Autres
537;8,08361E+13;Autres
538;7,97754E+13;Autres
539;7,93542E+13;Autres
540;8,09505E+13;Autres
541;7,98836E+13;Autres
542;7,93887E+13;Autres
543;8,10281E+13;Autres
544;7,9898E+13;Autres
545;7,94156E+13;Autres
546;8,10446E+13;Autres
547;7,99413E+13;Autres
548;7,94229E+13;Autres
549;8,10912E+13;Autres
550;7,99848E+13;Autres
551;7,94541E+13;Autres
552;8,11456E+13;Autres
553;8,00365E+13;Autres
554;7,95177E+13;Autres
555;8,11789E+13;Autres
556;8,0129E+13;Autres
557;7,95318E+13;Autres
558;8,11869E+13;Autres
559;8,01906E+13;Autres
560;7,97861E+13;Autres
561;8,12204E+13;Autres
562;8,04649E+13;Autres
563;7,9788E+13;Autres
564;8,12242E+13;Autres
565;8,0756E+13;Autres
566;7,98084E+13;Autres
567;8,12611E+13;Autres
568;8,0797E+13;Autres
569;7,9834E+13;Autres
570;8,1282E+13;Autres
571;8,08273E+13;Autres
572;7,9844E+13;Autres
573;8,13141E+13;Autres
574;8,08331E+13;Autres
575;7,98473E+13;Autres
576;8,13438E+13;Autres
577;8,09025E+13;Autres
578;7,98686E+13;Autres
579;8,13801E+13;Autres
580;8,09562E+13;Autres
581;7,99695E+13;Autres
582;8,14169E+13;Autres
583;8,09611E+13;Autres
584;8,01716E+13;Autres
585;8,14399E+13;Autres
586;8,09964E+13;Autres
587;8,01768E+13;Autres
588;8,14567E+13;Autres
589;8,09985E+13;Autres
590;8,02956E+13;Autres
591;8,14841E+13;Autres
592;8,10154E+13;Autres
593;8,03045E+13;Autres
594;8,1495E+13;Autres
595;8,10168E+13;Autres
596;8,03109E+13;Autres
597;8,1497E+13;Autres
598;8,10347E+13;Autres
599;8,03989E+13;Autres
600;8,14995E+13;Autres
601;8,10408E+13;Autres
602;8,04249E+13;Autres
603;8,15154E+13;Autres
604;8,11131E+13;Autres
605;8,04277E+13;Autres
606;8,15158E+13;Autres
607;8,11804E+13;Autres
608;8,04618E+13;Autres
609;8,17826E+13;Autres
610;8,12204E+13;Autres
611;8,0483E+13;Autres
612;8,18417E+13;Autres
613;8,12246E+13;Autres
614;8,04921E+13;Autres
615;8,185E+13;Autres
616;8,12328E+13;Autres
617;8,0524E+13;Autres
618;8,18789E+13;Autres
619;8,12441E+13;Autres
620;8,07823E+13;Autres
621;8,19193E+13;Autres
622;8,12826E+13;Autres
623;8,07912E+13;Autres
624;8,20403E+13;Autres
625;8,13076E+13;Autres
626;8,0818E+13;Autres
627;8,20845E+13;Autres
628;8,13207E+13;Autres
629;8,08273E+13;Autres
630;8,20988E+13;Autres
631;8,13549E+13;Autres
632;8,08829E+13;Autres
633;8,22205E+13;Autres
634;8,14092E+13;Autres
635;8,08858E+13;Autres
636;8,22427E+13;Autres
637;8,14128E+13;Autres
638;8,10374E+13;Autres
639;8,2349E+13;Autres
640;8,14147E+13;Autres
641;8,11253E+13;Autres
642;8,23588E+13;Autres
643;8,14466E+13;Autres
644;8,11292E+13;Autres
645;8,23713E+13;Autres
646;8,17435E+13;Autres
647;8,11385E+13;Autres
648;8,23795E+13;Autres
649;8,18032E+13;Autres
650;8,11571E+13;Autres
651;8,23929E+13;Autres
652;8,1841E+13;Autres
653;8,11885E+13;Autres
654;8,24153E+13;Autres
655;8,18712E+13;Autres
656;8,24241E+13;Autres
657;8,19198E+13;Autres
658;8,11961E+13;Autres
659;8,24263E+13;Autres
660;8,19236E+13;Autres
661;8,12928E+13;Autres
662;8,25237E+13;Autres
663;8,19793E+13;Autres
664;8,13078E+13;Autres
665;8,25403E+13;Autres
666;8,20344E+13;Autres
667;8,13313E+13;Autres
668;8,27615E+13;Autres
669;8,20668E+13;Autres
670;8,13564E+13;Autres
671;8,27728E+13;Autres
672;8,21091E+13;Autres
673;8,14386E+13;Autres
674;8,28391E+13;Autres
675;8,21288E+13;Autres
676;8,14652E+13;Autres
677;8,28897E+13;Autres
678;8,21739E+13;Autres
679;8,14706E+13;Autres
680;8,28925E+13;Autres
681;8,21839E+13;Autres
682;8,14772E+13;Autres
683;8,2903E+13;Autres
684;8,22505E+13;Autres
685;8,14875E+13;Autres
686;8,29115E+13;Autres
687;8,22536E+13;Autres
688;8,14891E+13;Autres
689;8,29288E+13;Autres
690;8,23113E+13;Autres
691;8,15054E+13;Autres
692;8,29329E+13;Autres
693;8,23578E+13;Autres
694;8,17611E+13;Autres
695;8,29565E+13;Autres
696;8,23585E+13;Autres
697;8,17783E+13;Autres
698;8,30329E+13;Autres
699;8,23897E+13;Autres
700;8,18222E+13;Autres
701;8,3048E+13;Autres
702;8,24261E+13;Autres
703;8,18375E+13;Autres
704;8,30801E+13;Autres
705;8,27515E+13;Autres
706;8,18731E+13;Autres
707;8,312E+13;Autres
708;8,27547E+13;Autres
709;8,19261E+13;Autres
710;8,31379E+13;Autres
711;8,2758E+13;Autres
712;8,19293E+13;Autres
713;8,31521E+13;Autres
714;8,27712E+13;Autres
715;8,19654E+13;Autres
716;8,3169E+13;Autres
717;8,27809E+13;Autres
718;8,19917E+13;Autres
719;8,31892E+13;Autres
720;8,28072E+13;Autres
721;8,20276E+13;Autres
722;8,32078E+13;Autres
723;8,28084E+13;Autres
724;8,20561E+13;Autres
725;8,32083E+13;Autres
726;8,28429E+13;Autres
727;8,20686E+13;Autres
728;8,32141E+13;Autres
729;8,28593E+13;Autres
730;8,20957E+13;Autres
731;8,32242E+13;Autres
732;8,28605E+13;Autres
733;8,21292E+13;Autres
734;8,3238E+13;Autres
735;8,21307E+13;Autres
736;8,32964E+13;Autres
737;8,29111E+13;Autres
738;8,21811E+13;Autres
739;8,33212E+13;Autres
740;8,29148E+13;Autres
741;8,21901E+13;Autres
742;8,33443E+13;Autres
743;8,29592E+13;Autres
744;8,22025E+13;Autres
745;8,33921E+13;Autres
746;8,29828E+13;Autres
747;8,22326E+13;Autres
748;8,34651E+13;Autres
749;8,29871E+13;Autres
750;8,22463E+13;Autres
751;8,34697E+13;Autres
752;8,30057E+13;Autres
753;8,23804E+13;Autres
754;8,34701E+13;Autres
755;8,30218E+13;Autres
756;8,24008E+13;Autres
757;8,35096E+13;Autres
758;8,30262E+13;Autres
759;8,24282E+13;Autres
760;8,35275E+13;Autres
761;8,30532E+13;Autres
762;8,24438E+13;Autres
763;8,30573E+13;Autres
764;8,2461E+13;Autres
765;8,37638E+13;Autres
766;8,30836E+13;Autres
767;8,25073E+13;Autres
768;8,3806E+13;Autres
769;8,31013E+13;Autres
770;8,25234E+13;Autres
771;8,38831E+13;Autres
772;8,31078E+13;Autres
773;8,25378E+13;Autres
774;8,38867E+13;Autres
775;8,31267E+13;Autres
776;8,27604E+13;Autres
777;8,38972E+13;Autres
778;8,31326E+13;Autres
779;8,27819E+13;Autres
780;8,39381E+13;Autres
781;8,31347E+13;Autres
782;8,28113E+13;Autres
783;8,39656E+13;Autres
784;8,31502E+13;Autres
785;8,28181E+13;Autres
786;8,39737E+13;Autres
787;8,31653E+13;Autres
788;8,28412E+13;Autres
789;8,40037E+13;Autres
790;8,31712E+13;Autres
791;8,28424E+13;Autres
792;8,40522E+13;Autres
793;8,32092E+13;Autres
794;8,28614E+13;Autres
795;8,40901E+13;Autres
796;8,32113E+13;Autres
797;8,29025E+13;Autres
798;8,41114E+13;Autres
799;8,32827E+13;Autres
800;8,30209E+13;Autres
801;8,41115E+13;Autres
802;8,33273E+13;Autres
803;8,31107E+13;Autres
804;8,415E+13;Autres
805;8,33365E+13;Autres
806;8,31155E+13;Autres
807;8,41758E+13;Autres
808;8,34043E+13;Autres
809;8,31332E+13;Autres
810;8,41916E+13;Autres
811;8,34382E+13;Autres
812;8,31464E+13;Autres
813;8,42432E+13;Autres
814;8,34529E+13;Autres
815;8,31584E+13;Autres
816;8,43404E+13;Autres
817;8,34883E+13;Autres
818;8,3215E+13;Autres
819;8,4341E+13;Autres
820;8,38143E+13;Autres
821;8,32575E+13;Autres
