;SIRET;Numero_inspection;Date_inspection;Synthese_eval_sanit
163;4,21533E+13;15947445;2021-03-26T01:00:00+01:00;Satisfaisant
164;4,33988E+13;16063435;2021-06-30T02:00:00+02:00;Satisfaisant
165;4,48758E+13;16087573;2021-07-16T02:00:00+02:00;Satisfaisant
166;4,23428E+13;16111902;2021-08-03T02:00:00+02:00;Satisfaisant
167;4,34894E+13;16020336;2021-05-26T02:00:00+02:00;A améliorer
168;4,49531E+13;15909439;2021-02-24T01:00:00+01:00;A améliorer
169;4,24025E+13;15993725;2021-04-14T02:00:00+02:00;A améliorer
170;4,34998E+13;15895407;2021-02-04T01:00:00+01:00;Très satisfaisant
171;4,51321E+13;15940279;2021-03-22T01:00:00+01:00;Satisfaisant
172;4,24173E+13;16088363;2021-07-16T02:00:00+02:00;Satisfaisant
173;4,37809E+13;16249287;2021-11-25T01:00:00+01:00;Satisfaisant
174;4,51321E+13;15935778;2021-03-18T01:00:00+01:00;Satisfaisant
175;4,24245E+13;16026855;2021-06-01T02:00:00+02:00;A améliorer
176;4,40169E+13;16019043;2021-05-28T02:00:00+02:00;A améliorer
177;4,51321E+13;16178880;2021-09-28T02:00:00+02:00;Satisfaisant
178;4,24754E+13;15880947;2021-01-28T01:00:00+01:00;Très satisfaisant
179;4,40284E+13;16218319;2021-10-26T02:00:00+02:00;Satisfaisant
180;4,51722E+13;16115235;2021-07-29T02:00:00+02:00;Satisfaisant
181;4,25068E+13;16186849;2021-10-05T02:00:00+02:00;Satisfaisant
182;4,41683E+13;16083248;2021-07-06T02:00:00+02:00;Très satisfaisant
183;4,52233E+13;15949744;2021-03-29T02:00:00+02:00;A améliorer
184;4,28268E+13;15889655;2021-02-10T01:00:00+01:00;Satisfaisant
185;4,43789E+13;16023765;2021-06-02T02:00:00+02:00;Satisfaisant
186;4,52505E+13;16065440;2021-07-01T02:00:00+02:00;Satisfaisant
187;4,28268E+13;16185678;2021-10-04T02:00:00+02:00;Satisfaisant
188;4,44409E+13;16074800;2021-07-06T02:00:00+02:00;Très satisfaisant
189;4,53736E+13;15891786;2021-02-11T01:00:00+01:00;A améliorer
190;4,28268E+13;16169662;2021-09-21T02:00:00+02:00;A améliorer
191;4,44935E+13;16100231;2021-07-23T02:00:00+02:00;Satisfaisant
192;4,53994E+13;16028070;2021-05-27T02:00:00+02:00;A améliorer
193;4,31454E+13;15954278;2021-03-31T02:00:00+02:00;Satisfaisant
194;4,47487E+13;16011123;2021-05-25T02:00:00+02:00;Satisfaisant
195;4,78456E+13;16049047;2021-06-21T02:00:00+02:00;A améliorer
196;4,32238E+13;16168392;2021-09-21T02:00:00+02:00;Satisfaisant
197;4,48142E+13;16161586;2021-09-15T02:00:00+02:00;Satisfaisant
198;4,78489E+13;16286058;2021-12-16T01:00:00+01:00;Très satisfaisant
199;4,38347E+13;16064581;2021-06-30T02:00:00+02:00;Satisfaisant
200;4,49531E+13;16060404;2021-06-29T02:00:00+02:00;Très satisfaisant
201;4,78724E+13;16013187;2021-05-26T02:00:00+02:00;Satisfaisant
202;4,38402E+13;16051849;2021-06-22T02:00:00+02:00;Satisfaisant
203;4,50428E+13;15971947;2021-04-16T02:00:00+02:00;Satisfaisant
204;4,79932E+13;16207466;2021-10-20T02:00:00+02:00;Très satisfaisant
205;4,38695E+13;15933733;2021-03-12T01:00:00+01:00;Satisfaisant
206;4,51321E+13;16189051;2021-10-05T02:00:00+02:00;Très satisfaisant
207;4,80377E+13;15853974;2021-01-14T01:00:00+01:00;Très satisfaisant
208;4,39057E+13;16271104;2021-12-08T01:00:00+01:00;Très satisfaisant
209;4,51321E+13;16161735;2021-09-15T02:00:00+02:00;Satisfaisant
210;4,82351E+13;15923923;2021-03-10T01:00:00+01:00;Satisfaisant
211;4,39626E+13;16154431;2021-09-09T02:00:00+02:00;Satisfaisant
212;4,51321E+13;16040901;2021-06-11T02:00:00+02:00;Satisfaisant
213;4,83131E+13;15918835;2021-03-05T01:00:00+01:00;Satisfaisant
214;4,4312E+13;16063064;2021-06-09T02:00:00+02:00;A améliorer
215;4,51949E+13;16035192;2021-06-08T02:00:00+02:00;Satisfaisant
216;4,83825E+13;16155962;2021-09-10T02:00:00+02:00;Très satisfaisant
217;4,45264E+13;16070688;2021-07-03T02:00:00+02:00;Satisfaisant
218;4,52126E+13;16215139;2021-10-19T02:00:00+02:00;A améliorer
219;4,8437E+13;16057840;2021-06-24T02:00:00+02:00;Très satisfaisant
220;4,48155E+13;16173320;2021-09-23T02:00:00+02:00;Très satisfaisant
221;4,53726E+13;16104155;2021-07-27T02:00:00+02:00;Satisfaisant
222;4,89078E+13;15863180;2021-01-19T01:00:00+01:00;Très satisfaisant
223;4,48518E+13;15851179;2021-01-12T01:00:00+01:00;Satisfaisant
224;4,81844E+13;16073785;2021-07-05T02:00:00+02:00;Satisfaisant
225;4,89543E+13;16235226;2021-10-08T02:00:00+02:00;A améliorer
226;4,49901E+13;16118651;2021-05-26T02:00:00+02:00;Très satisfaisant
227;4,82341E+13;16073434;2021-07-06T02:00:00+02:00;Satisfaisant
228;4,90257E+13;16161954;2021-09-15T02:00:00+02:00;A améliorer
229;4,50092E+13;16148776;2021-09-06T02:00:00+02:00;Très satisfaisant
230;4,82518E+13;16162328;2021-09-09T02:00:00+02:00;Très satisfaisant
231;4,90313E+13;15911218;2021-03-01T01:00:00+01:00;Très satisfaisant
232;4,51321E+13;16189028;2021-10-05T02:00:00+02:00;Très satisfaisant
