;SIRET;APP_Libelle_activite_etablissement
324;5,09915E+13;Boulangerie-Pâtisserie
325;5,21438E+13;Boulangerie-Pâtisserie
326;4,94021E+13;Alimentation générale
327;5,1035E+13;Restaurant
328;5,21757E+13;Restaurant
329;4,95287E+13;Restaurant
330;5,10987E+13;_
331;5,21951E+13;Boulangerie-Pâtisserie
332;4,9829E+13;Alimentation générale
333;5,11609E+13;Restaurant
334;5,2232E+13;Restaurant
335;4,9866E+13;Restaurant
336;5,12194E+13;Boulangerie-Pâtisserie
337;5,23284E+13;Alimentation générale
338;4,99309E+13;Alimentation générale
339;5,12316E+13;Alimentation générale
340;5,23818E+13;Restaurant
341;5,00058E+13;Restaurant
342;5,13044E+13;Boucherie-Charcuterie
343;5,24118E+13;Alimentation générale
344;5,00937E+13;Restaurant
345;5,13294E+13;Alimentation générale
346;5,24216E+13;Boulangerie-Pâtisserie
347;5,0199E+13;Boulangerie-Pâtisserie
348;5,136E+13;Boulangerie-Pâtisserie
349;5,24959E+13;Restaurant
350;5,02554E+13;Boulangerie-Pâtisserie
351;5,13613E+13;_
352;5,28628E+13;Boulangerie-Pâtisserie
353;5,04841E+13;Alimentation générale
354;5,18385E+13;Alimentation générale
355;5,28895E+13;Boucherie-Charcuterie
356;5,05155E+13;Boulangerie-Pâtisserie
357;5,19424E+13;Alimentation générale
358;5,31803E+13;Alimentation générale
359;5,09791E+13;Boulangerie-Pâtisserie
360;5,19929E+13;Boulangerie-Pâtisserie
361;5,31917E+13;Restaurant
362;5,09875E+13;_
363;5,20161E+13;Boulangerie-Pâtisserie
364;5,32227E+13;Alimentation générale
365;5,10101E+13;Boulangerie-Pâtisserie
366;5,20391E+13;Restaurant
367;5,32513E+13;Alimentation générale
368;5,1083E+13;Alimentation générale
369;5,23322E+13;Boulangerie-Pâtisserie
370;5,33214E+13;Restaurant
371;5,11134E+13;Alimentation générale
372;5,23477E+13;Boucherie-Charcuterie
373;5,33336E+13;Alimentation générale
374;5,1117E+13;Alimentation générale
375;5,33421E+13;Boulangerie-Pâtisserie
376;5,12468E+13;Restaurant
377;5,24449E+13;_
378;5,33511E+13;Boulangerie-Pâtisserie
379;5,12588E+13;Restaurant
380;5,24481E+13;Boulangerie-Pâtisserie
381;5,33849E+13;Boulangerie-Pâtisserie
382;5,14244E+13;Boulangerie-Pâtisserie
383;5,25136E+13;Restaurant
384;5,34315E+13;Alimentation générale
385;5,1469E+13;Boulangerie-Pâtisserie
386;5,28041E+13;Boucherie-Charcuterie
387;5,34438E+13;Restaurant
388;5,14983E+13;Restaurant
389;5,30018E+13;_
390;5,37929E+13;Traiteur
391;5,15399E+13;Restaurant
392;5,30849E+13;Boulangerie-Pâtisserie
393;5,72106E+13;_
394;5,18276E+13;Alimentation générale
395;5,32332E+13;Boulangerie-Pâtisserie
