SIRET;Code_postal;APP_Libelle_activite_etablissement;Agrement;ods_type_activite;Synthese_eval_sanit_A améliorer;Synthese_eval_sanit_A corriger de manière urgente;Synthese_eval_sanit_Satisfaisant;Synthese_eval_sanit_Très satisfaisant
48415104800010;69;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
49463661600018;94;Alimentation générale;1;Autres;0;0;1;0
48438474800014;71;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
49519607300029;92;Alimentation générale;1;Autres;0;0;1;0
45274399000023;71;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
48792124900024;92;Restaurant;1;Autres;0;0;1;0
49527151200024;73;Restaurant;1;Autres;0;0;0;1
47790681200011;69;Restaurant;1;Autres;0;0;1;0
48956394000027;78;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
49875271600015;92;Restaurant;1;Autres;0;0;1;0
47801174500013;92;Primeur;1;Autres;0;0;1;0
48965703100014;29;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
50005996900013;94;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
47845579300297;71;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
49097619800013;92;Restaurant;1;Autres;1;0;0;0
50016809100014;92;Traiteur;1;Autres;0;0;1;0
47845579301188;80;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
49114179200011;14;Boucherie-Charcuterie;1;Autres;0;0;1;0
50073169000029;94;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
48009534800011;92;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
49218174800020;92;Restaurant;1;Autres;0;0;0;1
50123841402901;92;Alimentation générale;1;Autres;0;0;1;0
48015016800015;41;Alimentation générale;1;Autres;0;0;1;0
49371149300012;94;Boucherie-Charcuterie;1;Autres;1;0;0;0
50148816700013;78;Alimentation générale;1;Autres;0;0;1;0
48086962700046;29;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
49421085900018;69;Restaurant;1;Autres;0;0;0;1
50153097600015;92;Restaurant;1;Autres;0;0;1;0
48097531700011;92;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
49429912600024;91;Restaurant;1;Autres;0;0;1;0
50206928900028;73;Alimentation générale;1;Autres;1;0;0;0
48104697700023;6;Alimentation générale;1;Autres;0;0;0;1
49992393600011;94;Restaurant;1;Autres;0;0;0;1
50328683300010;91;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
48201929600045;78;Boucherie-Charcuterie;1;Autres;0;0;1;0
50029823700016;9;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
50523890700032;92;Restaurant;1;Autres;1;0;0;0
50031316800014;95;Restaurant;1;Autres;0;0;1;0
50743830700013;71;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
48234097300965;78;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
50031328300011;65;Alimentation générale;1;Autres;0;0;1;0
50755627200015;78;Restaurant;1;Autres;0;0;1;0
50036611700017;94;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
50856197400017;35;Boucherie-Charcuterie;1;Autres;0;0;0;1
50107999000013;69;Restaurant;1;Autres;0;0;0;1
50907885300017;78;Restaurant;1;Autres;0;0;1;0
48491858600021;94;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
50128319600019;78;Restaurant;1;Autres;1;0;0;0
50931559400010;69;Restaurant;1;Autres;0;0;1;0
48876146100018;91;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
50145809500012;71;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
51044681800021;92;Restaurant;1;Autres;0;0;1;0
48887791100013;91;Restaurant;1;Autres;0;0;0;1
50314985800014;29;Boucherie-Charcuterie;1;Autres;0;0;0;1
51230847900025;94;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
48977595700017;80;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
50346258200027;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
51307003700017;92;Restaurant;1;Autres;0;0;1;0
49037539100011;78;Restaurant;1;Autres;1;0;0;0
51389655500069;85;Boucherie-Charcuterie;1;Autres;0;0;1;0
49078876700013;69;Restaurant;1;Autres;0;0;1;0
50466025900020;92;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
51389893200019;29;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
49104393100014;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
50480125900012;94;Alimentation générale;1;Autres;0;0;1;0
51762678400022;95;Alimentation générale;1;Autres;0;0;1;0
49113471400014;62;Alimentation générale;1;Autres;0;0;1;0
50772202300011;38;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
51894929200016;29;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
49132361400017;78;Restaurant;1;Autres;0;0;0;1
50834020500022;95;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
49133184900019;38;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
51926141600019;71;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
49164496900033;91;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
50945898000034;88;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
52132292500012;92;Restaurant;1;Autres;0;0;1;0
49338651000017;14;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
50991452900011;29;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
52143813500035;38;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
49402145400033;92;Alimentation générale;1;Autres;0;0;0;1
51035020000018;91;Restaurant;1;Autres;0;0;1;0
52175651000017;97;Restaurant;1;Autres;0;0;0;1
49528696500035;92;Restaurant;1;Autres;0;0;1;0
52195125100011;92;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
49829008900024;1;Alimentation générale;1;Autres;0;0;1;0
51160866300023;69;Restaurant;1;Autres;0;0;1;0
52231996100028;92;Restaurant;1;Autres;0;0;0;1
49866038000011;74;Restaurant;1;Autres;0;0;1;0
51219420000022;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
52328437000039;94;Alimentation générale;1;Autres;0;0;0;1
49930885600727;92;Alimentation générale;1;Autres;0;0;1;0
51231563100014;78;Alimentation générale;1;Autres;0;0;1;0
52381755900025;91;Restaurant;1;Autres;0;0;1;0
50005830000020;91;Restaurant;1;Autres;0;0;1;0
51304401600014;59;Boucherie-Charcuterie;1;Autres;0;0;1;0
52411810600011;92;Alimentation générale;1;Autres;0;0;1;0
50093718000015;29;Restaurant;1;Autres;0;0;0;1
51329402500012;6;Alimentation générale;1;Autres;1;0;0;0
52421559700013;29;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
50199005500011;80;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
51359987800016;71;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
52495923600133;92;Restaurant;1;Autres;0;0;1;0
50255364700020;91;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
52862849800024;84;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
50484075200019;92;Alimentation générale;1;Autres;0;0;1;0
51838453200041;78;Alimentation générale;1;Autres;0;0;0;1
52889516200014;1;Boucherie-Charcuterie;1;Autres;0;0;0;1
50515497100012;3;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
51942392500014;6;Alimentation générale;1;Autres;0;0;0;1
53180298100021;80;Alimentation générale;1;Autres;0;0;1;0
50979093700023;91;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
51992866700012;38;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
53191732600013;29;Restaurant;1;Autres;0;0;0;1
52016110000026;95;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
53222701400018;38;Alimentation générale;1;Autres;0;0;0;1
51010111600018;80;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
52039053500018;92;Restaurant;1;Autres;0;0;1;0
53251321500014;14;Alimentation générale;1;Autres;0;0;1;0
51083046600015;92;Alimentation générale;1;Autres;0;0;0;1
52332218800021;78;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
53321400300261;35;Restaurant;1;Autres;0;0;0;1
51113363900019;78;Alimentation générale;1;Autres;0;0;1;0
52347717200010;69;Boucherie-Charcuterie;1;Autres;0;0;1;0
53333555000059;92;Alimentation générale;1;Autres;0;0;1;0
51117010200012;91;Alimentation générale;1;Autres;0;0;0;1
53342054300027;69;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
51246808300013;74;Restaurant;1;Autres;0;0;1;0
53351091300015;92;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
51258779100017;69;Restaurant;1;Autres;0;0;1;0
52448058900018;71;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
53384875000014;62;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
51424437500010;95;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
52513618000011;78;Restaurant;1;Autres;1;0;0;0
53431545200027;69;Alimentation générale;1;Autres;0;0;0;1
51469040300035;78;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
52804050400052;92;Boucherie-Charcuterie;1;Autres;1;0;0;0
53443759500281;69;Restaurant;1;Autres;0;0;0;1
51498289100012;78;Restaurant;1;Autres;1;0;0;0
53792891300012;38;Traiteur;1;Autres;0;0;1;0
51539893100144;92;Restaurant;1;Autres;0;0;1;0
53084933000010;80;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
51827602700019;95;Alimentation générale;1;Autres;1;0;0;0
53233161800019;91;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
65980414000039;78;Primeur;1;Autres;1;0;0;0
52102558500030;62;Restaurant;1;Autres;1;0;0;0
53277908900020;78;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
75071251500014;78;Restaurant;1;Autres;0;0;1;0
52155996300017;92;Restaurant;1;Autres;1;0;0;0
75198851000010;92;Alimentation générale;1;Autres;0;0;1;0
52218313600020;62;Restaurant;1;Autres;0;0;0;1
53294179600015;29;Restaurant;1;Autres;0;0;0;1
75224535700021;91;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
52352151600014;65;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
53350030200013;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
75224717100032;78;Restaurant;1;Autres;0;0;1;0
52355826000015;14;Boucherie-Charcuterie;1;Autres;1;0;0;0
53381151900024;94;Boucherie-Charcuterie;1;Autres;0;0;1;0
75235233600024;1;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
