id_etablissement;id_activite;id_type_activite;code_postal;agrement;niveau_hygiene
119;3;0;95;;0
119;0;0;95;;0
120;4;0;69;;1
121;16;0;94;;2
121;16;2;94;;2
121;4;0;94;;2
121;4;2;94;;2
122;0;0;92;;2
123;1;0;91;;0
124;1;0;78;;0
125;1;0;29;;1
126;4;0;92;;0
127;10;0;92;;0
128;1;0;78;;0
129;4;0;95;;2
130;4;0;69;;1
131;10;0;14;;2
132;1;0;78;;2
117;24;0;92;;0
117;24;5;92;;0
117;22;0;92;;0
117;22;5;92;;0
117;19;0;92;;0
117;19;5;92;;0
117;8;0;92;;0
117;8;5;92;;0
117;0;0;92;;0
117;0;5;92;;0
